,index,appeal_count,money_invested,stock_code,stock_mv,left_to_invest
142,掌趣科技,13,18125250.0,300315.SZ,16986102622.720001,99.893%
143,恩捷股份,3,18018530.0,002812.SZ,38448400559.8,99.953%
144,方正证券,9,17951170.0,601901.SH,60012019169.55001,99.97%
145,中科创达,8,17860960.0,300496.SZ,23599460137.11,99.924%
146,亿纬锂能,10,17845040.0,300014.SZ,57373069944.00001,99.969%
147,大博医疗,20,17553970.0,002901.SZ,25555901803.0,99.931%
148,杰瑞股份,14,17418250.0,002353.SZ,24530640735.12,99.929%
149,中信特钢,7,17356490.0,000708.SZ,77666630716.32,99.978%
150,蓝光发展,20,17139170.0,600466.SH,18014845889.300003,99.905%
151,中银香港,23,16967920.0,,,nan%
152,绿盟科技,8,16926000.0,300369.SZ,17183473241.329998,99.901%
153,长安汽车,4,16813400.0,000625.SZ,50091623969.729996,99.966%
154,闻泰科技,17,16768640.0,600745.SH,135221255192.7,99.988%
155,普利制药,19,16712280.0,300630.SZ,17090360919.0,99.902%
156,通化东宝,5,16587560.0,600867.SH,21397559198.84,99.922%
157,恒生银行,24,16501680.0,,,nan%
158,新华保险,8,16319020.000000002,601336.SH,123159699767.99997,99.987%
159,东方证券,7,15898239.999999998,600958.SH,66369793570.47,99.976%
160,口子窖,2,15748480.0,603589.SH,22800000000.0,99.931%
161,贝达药业,10,15705950.0,300558.SZ,26586300000.0,99.941%
162,歌尔股份,12,15408100.0,002241.SZ,55231669194.96,99.972%
163,华测检测,2,15401400.0,300012.SZ,24382276802.94,99.937%
164,南京银行,4,15322910.000000002,601009.SH,61411185369.76,99.975%
165,华帝股份,1,14753300.0,002035.SZ,9257302950.6,99.841%
166,复星医药,12,14728270.0,600196.SH,75759280990.2,99.981%
167,今世缘,9,14694380.0,603369.SH,33746050000.0,99.956%
168,三一重工,9,14637840.0,600031.SH,133977315327.3,99.989%
169,星宇股份,3,14563340.0,601799.SH,24044836050.239998,99.939%
170,康弘药业,15,14426210.000000002,002773.SZ,31959315466.0,99.955%
171,天顺风能,4,14229890.0,002531.SZ,9962506663.2,99.857%
172,沪电股份,11,13964660.0,002463.SZ,44670179701.7,99.969%
173,先导智能,5,13935300.0,300450.SZ,37461466474.99999,99.963%
174,水晶光电,13,13882100.000000002,002273.SZ,17522535097.48,99.921%
175,国药一致,1,13730840.0,000028.SZ,16876765669.859999,99.919%
176,隆基股份,6,13715340.0,601012.SH,90754723173.42,99.985%
177,邮储银行,37,12970339.999999998,,,nan%
178,华域汽车,2,12713280.000000002,600741.SH,65576658867.200005,99.981%
179,上汽集团,5,12480460.0,600104.SH,222569939003.25,99.994%
180,东方财富,38,12297430.0,300059.SZ,113359474096.4,99.989%
